ID Polygon,Musigma,X1,Y1,Z1,Y2,Z2,X2,X3,Y3,Z3
199,0.0,110.5664511462,31,-1.20085e-05,31.128186935,-1.20448e-05,110.5566328988,110.5039776979,31.1196438054,-1.20364e-05
200,9.6558132172,110.6030164321,31,-1.20113e-05,31.1341089062,-1.20476e-05,110.5932161881,110.5408881127,31.1256348076,-1.20439e-05
201,9.6558132172,110.6393600089,31,-1.20169e-05,31.1399839661,-1.20522e-05,110.6295776513,110.5775682352,31.131577231,-1.20467e-05
202,9.10916996,110.6754875139,31,-1.20196e-05,31.1458132258,-1.2056e-05,110.6657229289,110.6140240439,31.1374722531,-1.20495e-05
203,9.7141256332,110.7114043632,31,-1.20252e-05,31.1515977527,-1.20616e-05,110.7016574403,110.650261278,31.1433210044,-1.2055e-05
204,9.10916996,110.7471157637,31,-1.20271e-05,31.157338573,-1.20662e-05,110.7373863952,110.68628545,31.1491245707,-1.20588e-05
205,10.6624889374,110.7826267239,31,-1.20327e-05,31.1630366738,-1.20699e-05,110.7729148051,110.7221018582,31.1548839956,-1.20625e-05
206,15.7289628983,110.8179420646,31,-1.20364e-05,31.1686930052,-1.20727e-05,110.8082474935,110.7577155976,31.1606002827,-1.20681e-05
207,4.8996710777,110.853066428,31,-1.20392e-05,31.174308482,-1.20765e-05,110.8433891054,110.7931315712,31.1662743976,-1.20709e-05
208,3.3719584942,110.8648435682,31,-1.20448e-05,31.1761890501,-1.20783e-05,110.8551720277,110.8283544991,31.1719072702,-1.20746e-05
209,0.0,110.5227622401,31,-1.20234e-05,31.1533058299,-1.20616e-05,110.5129231234,110.459913635,31.1446922909,-1.2055e-05
210,0.0,110.5595678086,31,-1.2029e-05,31.159275601,-1.20653e-05,110.5497468438,110.4970734306,31.1507328506,-1.20597e-05
211,6.9927740097,110.5961457128,31,-1.20336e-05,31.1651972905,-1.20709e-05,110.5863427793,110.5339966132,31.1567235902,-1.20653e-05
212,6.9927740097,110.6325018259,31,-1.20373e-05,31.1710720559,-1.20746e-05,110.6227168065,110.5706894178,31.1626657375,-1.20699e-05
213,9.10916996,110.6686417875,31,-1.20411e-05,31.1769010083,-1.20783e-05,110.6588745682,110.6071578255,31.1685604706,-1.20727e-05
214,9.10916996,110.7045710159,31,-1.20448e-05,31.1826852156,-1.20811e-05,110.694821486,110.6434075777,31.17440892,-1.20765e-05
215,9.10916996,110.7402947201,31,-1.20495e-05,31.1884257041,-1.20858e-05,110.7305627717,110.6794441891,31.180212172,-1.20802e-05
216,15.8847417831,110.7758179106,31,-1.20541e-05,31.1941234612,-1.20904e-05,110.7661034389,110.7152729602,31.1859712703,-1.20848e-05
217,10.6624889374,110.81114541,31,-1.20569e-05,31.1997794372,-1.20932e-05,110.8014483129,110.7508989882,31.1916872188,-1.20876e-05
218,6.4245648384,110.8462818626,31,-1.20625e-05,31.2053945471,-1.20969e-05,110.8366020406,110.7863271778,31.1973609834,-1.20923e-05
219,5.2336182594,110.8580630555,31,-1.20662e-05,31.2072749893,-1.20997e-05,110.8483890245,110.8215622512,31.202993494,-1.20969e-05
