unit,1_prob,unit_prob_mean,unit_risk_class,lisa_sig,lisa_type,risk_lisa_combo
34,0.211560963,0.511603228,高,TRUE,高-低,高-高-低
34,0.382544258,0.511603228,高,TRUE,高-低,高-高-低
27,0.215728134,0.141972838,中,TRUE,高-低,中-高-低
27,0.212574676,0.141972838,中,TRUE,高-低,中-高-低
27,0.38258164,0.141972838,中,TRUE,高-低,中-高-低
27,0.196927992,0.141972838,中,TRUE,高-低,中-高-低
0,0.219330417,0.215929812,中,TRUE,高-低,中-高-低
20,0.20690201,0.309657406,高,TRUE,高-低,高-高-低
23,0.18627394,0.401112984,高,TRUE,高-低,高-高-低
116,0.1843271,0.345645355,高,TRUE,高-低,高-高-低
116,0.225381974,0.345645355,高,TRUE,高-低,高-高-低
38,0.200431747,0.510135554,高,TRUE,高-低,高-高-低
21,0.191712285,0.273970097,高,TRUE,高-低,高-高-低
21,0.464775891,0.273970097,高,TRUE,高-低,高-高-低
116,0.392224276,0.345645355,高,TRUE,高-低,高-高-低
26,0.876276947,0.196528483,中,TRUE,高-低,中-高-低
26,0.387995864,0.196528483,中,TRUE,高-低,中-高-低
26,0.254763732,0.196528483,中,TRUE,高-低,中-高-低
26,0.252414375,0.196528483,中,TRUE,高-低,中-高-低
20,0.192396029,0.309657406,高,TRUE,高-低,高-高-低
26,0.18171315,0.196528483,中,TRUE,高-低,中-高-低
23,0.230069477,0.401112984,高,TRUE,高-低,高-高-低
26,0.226092101,0.196528483,中,TRUE,高-低,中-高-低
21,0.209248417,0.273970097,高,TRUE,高-低,高-高-低
26,0.400924779,0.196528483,中,TRUE,高-低,中-高-低
21,0.483769526,0.273970097,高,TRUE,高-低,高-高-低
21,0.20379016,0.273970097,高,TRUE,高-低,高-高-低
23,0.426311469,0.401112984,高,TRUE,高-低,高-高-低
20,0.208314464,0.309657406,高,TRUE,高-低,高-高-低
20,0.208333302,0.309657406,高,TRUE,高-低,高-高-低
20,0.328545497,0.309657406,高,TRUE,高-低,高-高-低
20,0.208237816,0.309657406,高,TRUE,高-低,高-高-低
20,0.317331901,0.309657406,高,TRUE,高-低,高-高-低
20,0.568074288,0.309657406,高,TRUE,高-低,高-高-低
23,0.368819619,0.401112984,高,TRUE,高-低,高-高-低
20,0.313702278,0.309657406,高,TRUE,高-低,高-高-低
23,0.193522998,0.401112984,高,TRUE,高-低,高-高-低
20,0.233027992,0.309657406,高,TRUE,高-低,高-高-低
20,0.259647345,0.309657406,高,TRUE,高-低,高-高-低
20,0.217987396,0.309657406,高,TRUE,高-低,高-高-低
23,0.459015106,0.401112984,高,TRUE,高-低,高-高-低
23,0.213767259,0.401112984,高,TRUE,高-低,高-高-低
44,0.262350509,0.102962536,中,TRUE,高-低,中-高-低
20,0.192416106,0.309657406,高,TRUE,高-低,高-高-低
44,0.324898355,0.102962536,中,TRUE,高-低,中-高-低
20,0.306609422,0.309657406,高,TRUE,高-低,高-高-低
24,0.207174319,0.065602667,低,TRUE,高-低,低-高-低
20,0.203183655,0.309657406,高,TRUE,高-低,高-高-低
24,0.415511211,0.065602667,低,TRUE,高-低,低-高-低
24,0.292395405,0.065602667,低,TRUE,高-低,低-高-低
20,0.190868888,0.309657406,高,TRUE,高-低,高-高-低
20,0.200652368,0.309657406,高,TRUE,高-低,高-高-低
24,0.233432428,0.065602667,低,TRUE,高-低,低-高-低
20,0.298493568,0.309657406,高,TRUE,高-低,高-高-低
20,0.580790164,0.309657406,高,TRUE,高-低,高-高-低
24,0.345465702,0.065602667,低,TRUE,高-低,低-高-低
24,0.443478142,0.065602667,低,TRUE,高-低,低-高-低
24,0.298507361,0.065602667,低,TRUE,高-低,低-高-低
24,0.260734089,0.065602667,低,TRUE,高-低,低-高-低
24,0.269581664,0.065602667,低,TRUE,高-低,低-高-低
20,0.366907489,0.309657406,高,TRUE,高-低,高-高-低
24,0.197531557,0.065602667,低,TRUE,高-低,低-高-低
24,0.202989893,0.065602667,低,TRUE,高-低,低-高-低
24,0.204687361,0.065602667,低,TRUE,高-低,低-高-低
20,0.244530238,0.309657406,高,TRUE,高-低,高-高-低
20,0.240495731,0.309657406,高,TRUE,高-低,高-高-低
20,0.191132465,0.309657406,高,TRUE,高-低,高-高-低
20,0.224289503,0.309657406,高,TRUE,高-低,高-高-低
43,0.330058125,0.074440615,低,TRUE,高-低,低-高-低
43,0.190615766,0.074440615,低,TRUE,高-低,低-高-低
43,0.205387454,0.074440615,低,TRUE,高-低,低-高-低
43,0.243340897,0.074440615,低,TRUE,高-低,低-高-低
43,0.281787904,0.074440615,低,TRUE,高-低,低-高-低
43,0.268956478,0.074440615,低,TRUE,高-低,低-高-低
25,0.285272753,0.074197619,低,TRUE,高-低,低-高-低
43,0.344012358,0.074440615,低,TRUE,高-低,低-高-低
43,0.202194848,0.074440615,低,TRUE,高-低,低-高-低
25,0.344809705,0.074197619,低,TRUE,高-低,低-高-低
25,0.206980074,0.074197619,低,TRUE,高-低,低-高-低
43,0.235792895,0.074440615,低,TRUE,高-低,低-高-低
25,0.274780206,0.074197619,低,TRUE,高-低,低-高-低
25,0.376443171,0.074197619,低,TRUE,高-低,低-高-低
25,0.185004239,0.074197619,低,TRUE,高-低,低-高-低
25,0.185004239,0.074197619,低,TRUE,高-低,低-高-低
25,0.280681871,0.074197619,低,TRUE,高-低,低-高-低
25,0.182213384,0.074197619,低,TRUE,高-低,低-高-低
25,0.186030364,0.074197619,低,TRUE,高-低,低-高-低
25,0.682610116,0.074197619,低,TRUE,高-低,低-高-低
25,0.270300712,0.074197619,低,TRUE,高-低,低-高-低
25,0.328785127,0.074197619,低,TRUE,高-低,低-高-低
25,0.307414314,0.074197619,低,TRUE,高-低,低-高-低
25,0.31802521,0.074197619,低,TRUE,高-低,低-高-低
25,0.182673457,0.074197619,低,TRUE,高-低,低-高-低
25,0.181876436,0.074197619,低,TRUE,高-低,低-高-低
25,0.212427034,0.074197619,低,TRUE,高-低,低-高-低
25,0.228194795,0.074197619,低,TRUE,高-低,低-高-低
25,0.224289922,0.074197619,低,TRUE,高-低,低-高-低
25,0.202473657,0.074197619,低,TRUE,高-低,低-高-低
25,0.204514202,0.074197619,低,TRUE,高-低,低-高-低
118,0.802386114,0.117031871,中,TRUE,高-低,中-高-低
118,0.184297434,0.117031871,中,TRUE,高-低,中-高-低
118,0.184297434,0.117031871,中,TRUE,高-低,中-高-低
118,0.235256149,0.117031871,中,TRUE,高-低,中-高-低
72,0.621859107,0.225831729,中,TRUE,高-低,中-高-低
